season_id,media_id,title,index_show,is_finish,video_link,cover,pub_real_time,renewal_time,favorites,coins,views,danmakus,depth,download_timeout,download_slot,download_latency,media_tags,score,cm_count
1476,1476,不可思议星球的双胞胎公主,全51话,1,https://www.bilibili.com/bangumi/play/ss1476,http://i0.hdslb.com/bfs/bangumi/843c779682ab82af6bc3181070b56748a628044e.jpg,1112371200,1337620097,93781,1807,1528057,96638,53,180.0,www.bilibili.com,0.18057608604431152,,9.4,282人评
2277,2277,少女革命,全39话,1,https://www.bilibili.com/bangumi/play/ss2277,http://i0.hdslb.com/bfs/bangumi/b9b1e940cafab2313c6e2e851444f2ad65ab735d.jpg,859910400,1368269697,94350,2754,1095254,85688,53,180.0,www.bilibili.com,0.23441290855407715,,9.7,892人评
5535,4310082,机动战士高达 铁血的奥尔芬斯 第二季,全25话,1,https://www.bilibili.com/bangumi/play/ss5535,http://i0.hdslb.com/bfs/bangumi/a20296165901b6402c54d78c42d0c3274fca6cd1.png,1475337600,1542362439,94634,7528,2869076,76000,53,180.0,www.bilibili.com,0.15190505981445312,,4.7,6698人评
695,695,创圣的大天使,全26话,1,https://www.bilibili.com/bangumi/play/ss695,http://i0.hdslb.com/bfs/bangumi/cfe471ff3d31d2faf83a1d3d2545cc349d01de5e.jpg,1112630400,1280087105,97854,737,914221,17206,52,180.0,www.bilibili.com,0.2255079746246338,,8.9,113人评
4697,10552,女神异闻录 -圣洁之魂-,全26话,1,https://www.bilibili.com/bangumi/play/ss4697,http://i0.hdslb.com/bfs/bangumi/fa0c1572d0c34da0878bdd938ac91edd63138f01.jpg,1199462400,1507715991,97754,282,855467,11109,52,180.0,www.bilibili.com,0.2164618968963623,,9.2,223人评
760,760,夏雪密会,全11话,1,https://www.bilibili.com/bangumi/play/ss760,http://i0.hdslb.com/bfs/bangumi/7b053cb59e973f5f323d7133f7798fe083504f21.jpg,1341417600,1347601628,97586,1920,1076673,59329,52,180.0,www.bilibili.com,0.20740580558776855,,9.4,424人评
2459,2459,机动战士高达,全43话,1,https://www.bilibili.com/bangumi/play/ss2459,http://i0.hdslb.com/bfs/bangumi/99e68236f4ee6da8e0220abe4069abe17cf2e40e.jpg,292348800,1395586422,99629,3434,2385967,79224,53,180.0,www.bilibili.com,0.12456583976745605,,9.7,907人评
4687,28223352,犬夜叉完结篇,全26话,1,https://www.bilibili.com/bangumi/play/ss4687,http://i0.hdslb.com/bfs/bangumi/image/145ae170aad690934481271529dd62632c0b3da6.jpg,1254499200,1572601869,109132,7261,847017,34011,53,180.0,www.bilibili.com,0.2549009323120117,,9.9,2633人评
3209,3209,牙狼 -炎之刻印-,全25话,1,https://www.bilibili.com/bangumi/play/ss3209,http://i0.hdslb.com/bfs/bangumi/deeb45e1a48ea5bd0bafd7718a761ef82a6984a3.jpg,1412265600,1450169648,95128,2847,6072050,205004,53,180.0,www.bilibili.com,0.18175411224365234,,9.3,407人评
622,622,南家三姐妹 欢迎回来,全13话,1,https://www.bilibili.com/bangumi/play/ss622,http://i0.hdslb.com/bfs/bangumi/887e18c0dcda8843f53dbf2335b128a723f76d6b.jpg,1230998400,1400752052,95120,5300,2171261,71428,53,180.0,www.bilibili.com,0.18320989608764648,,9.4,668人评
240,240,银之匙 Silver Spoon 第二季,全11话,1,https://www.bilibili.com/bangumi/play/ss240,http://i0.hdslb.com/bfs/bangumi/0d2bdbefd329f40b94e6f9a634cfbc1ded0e8602.jpg,1389196800,1395935952,95137,5551,3801704,83893,53,180.0,www.bilibili.com,0.09663510322570801,,9.8,1665人评
1206,1206,亡念之扎姆德,全26话,1,https://www.bilibili.com/bangumi/play/ss1206,http://i0.hdslb.com/bfs/bangumi/c9886b43bb350b3f15ae0a2704e9fa5caa67b71d.jpg,1222185600,1314329700,95800,2295,654390,21142,53,180.0,www.bilibili.com,0.1700751781463623,,9.3,587人评
5351,5351,吸血鬼猎人D,全1话,1,https://www.bilibili.com/bangumi/play/ss5351,http://i0.hdslb.com/bfs/bangumi/deebeb6bdf2cac27631888821aba0ad00b9dcc7c.jpg,967132800,1472438820,94895,2936,925599,11796,53,180.0,www.bilibili.com,0.38303399085998535,,9.8,748人评
1422,1422,调酒师,全11话,1,https://www.bilibili.com/bangumi/play/ss1422,http://i0.hdslb.com/bfs/bangumi/e2eb41bf4d18f4c63e2a9af26286d5f91e613fc2.jpg,1160755200,1306914780,95008,1154,211013,2296,53,180.0,www.bilibili.com,0.1988668441772461,,9.7,410人评
1653,1653,热风海陆BUSHIROAD,全1话,1,https://www.bilibili.com/bangumi/play/ss1653,http://i0.hdslb.com/bfs/bangumi/e639d425afa1c4d8c5c9d23b1b4cfb0a5999b1a9.jpg,1388419200,1388727741,96711,1538,702408,27303,53,180.0,www.bilibili.com,0.2114698886871338,,8.9,288人评
1594,1594,搞笑漫画日和2,全12话,1,https://www.bilibili.com/bangumi/play/ss1594,http://i0.hdslb.com/bfs/bangumi/6324f62d30c78750d69ab57da55056a06921722c.jpg,1154707200,1421735907,96592,2331,2325771,16252,53,180.0,www.bilibili.com,0.211655855178833,,9.3,291人评
4472,4472,永远之久远,全6话,1,https://www.bilibili.com/bangumi/play/ss4472,http://i0.hdslb.com/bfs/bangumi/df3ba14da333b4a46f7ef17962e047a3a290ea21.jpg,1310745600,1468821029,96739,1303,714387,12326,53,180.0,www.bilibili.com,0.20394015312194824,,8.7,233人评
1255,1255,幻影少年,全24话,1,https://www.bilibili.com/bangumi/play/ss1255,http://i0.hdslb.com/bfs/bangumi/ba597f23ac8bb4ab2ca074bc867c58b578bc3293.jpg,1207497600,1293811260,88169,697,321841,9473,54,180.0,www.bilibili.com,0.10358905792236328,,9.2,187人评
2397,2397,光能使者,全41话,1,https://www.bilibili.com/bangumi/play/ss2397,http://i0.hdslb.com/bfs/bangumi/8c0fbae1241e5cb4cdd8b72e385633ad782c650e.jpg,607881600,1314743804,96200,3166,2529025,74937,53,180.0,www.bilibili.com,0.3715488910675049,,9.7,452人评
3129,3129,简单易懂的现代魔法,全13话,1,https://www.bilibili.com/bangumi/play/ss3129,http://i0.hdslb.com/bfs/bangumi/a0a3477a769ab29e1f85d16a6bec3002141f243c.jpg,1247241600,1449050786,96432,1012,765345,15201,53,180.0,www.bilibili.com,0.20274734497070312,,8.6,152人评
514,514,玉响～hitotose～,全13话,1,https://www.bilibili.com/bangumi/play/ss514,http://i0.hdslb.com/bfs/bangumi/3e21912c602a747b22f072e3d641595508bd0698.jpg,1317571200,1345637623,89610,1371,433580,22727,54,180.0,www.bilibili.com,0.13859128952026367,,9.7,324人评
1204,1204,H2O 赤砂的印记,全12话,1,https://www.bilibili.com/bangumi/play/ss1204,http://i0.hdslb.com/bfs/bangumi/e38296a893ee9e030056847b4bb7fea442c856cb.jpg,1199289600,1293536280,87931,435,82892,2588,54,180.0,www.bilibili.com,0.217756986618042,,9.4,405人评
28137,28221611,为美好的世界献上祝福！ 第二季 （僅限港澳台地區）,全10话,1,https://www.bilibili.com/bangumi/play/ss28137,http://i0.hdslb.com/bfs/bangumi/802eef808df7dbf1e9a2f18850426fd485555477.jpg,1484150400,1563244549,89236,1116,129105,5309,54,180.0,www.bilibili.com,0.14387035369873047,,9.7,980人评
5383,5383,星际牛仔 SP,全6话,1,https://www.bilibili.com/bangumi/play/ss5383,http://i0.hdslb.com/bfs/bangumi/033593224e105da1a0705a26f279bf47e5a68947.jpg,909072000,1469526747,88296,19762,4700612,110109,54,180.0,www.bilibili.com,0.18798494338989258,,9.7,432人评
1123,1123,阿拉德战记,全26话,1,https://www.bilibili.com/bangumi/play/ss1123,http://i0.hdslb.com/bfs/bangumi/4955aeebad54e093a98324773842fa22a8e4108e.jpg,1238688000,1348303573,89174,3992,1739518,103768,54,180.0,www.bilibili.com,0.14062786102294922,,9.7,1061人评
111,111,剑灵,全13话,1,https://www.bilibili.com/bangumi/play/ss111,http://i0.hdslb.com/bfs/bangumi/7ac9a11f87ddd6f474b79acf2d72dcc904aabca8.jpg,1396454400,1403807937,88390,657,2767698,115735,54,180.0,www.bilibili.com,0.13489222526550293,,8.0,188人评
6243,6243,魔法科高校的劣等生（僅限港澳台地區）,全26话,1,https://www.bilibili.com/bangumi/play/ss6243,http://i0.hdslb.com/bfs/bangumi/24f3a39e552199f590a6b3dfd3f0979e9582eca5.jpg,1396627200,1496635364,90475,694,349583,18,54,180.0,www.bilibili.com,0.1593332290649414,,6.7,537人评
